,LATITUDE,LONGITUDE,API,BASIN,COUNTY,WELLNAME,WELLTYPE,DATECOMP,DATESAMPLE,FORMATION,PERIOD,DEPTHUPPER,DEPTHLOWER,DEPTHWELL,SPGRAV,PH,TDSUSGS,HCO3,Ca,Cl,KNa,Mg,Na,SO4,H2S,cull_chargeb
15654,32.107,-100.685,,Permian,Mitchell,Parks #18,Conventional Hydrocarbon,,1980-04-17,Mississippi Chat,Unknown,,,,1.0431,7.2,51658,488.17,2326,29832.66,,778.15,16272.36,1961.03,,
14270,31.97938,-100.72645,4.20813E+13,Permian,Coke,Central National Bank #12,Conventional Hydrocarbon,1979-12-31,1980-04-16,Strawn,Pennsylvanian,,,6300,1.1298,5.8,186331,172.86,11749,115239.6,,2429.07,56264.04,<MDL,,
16004,32.006,-100.776,,Permian,Coke,Sam B Savage #2,Conventional Hydrocarbon,,1980-04-16,Reef,Unknown,,,,1.1316,5.8,188132,548.83,10795,115423.2,,1765.3,57711.6,133.53,,
15960,32.006,-100.776,,Permian,Coke,Jameson Reef Unit #,Conventional Hydrocarbon,,1980-04-15,Reef,Unknown,,,,1.0447,6.4,65936,297.74,4084,40325.42,,971.57,19849.3,316.54,,
15479,32,-102.705,,Permian,Ector,E Goldsmith San Andres 22-1,Conventional Hydrocarbon,,1980-04-13,San Andres,Unknown,5014,5027,,1.0246,7,34111,1393.46,1516,16393.6,,462.09,10450.92,3883.23,,
15480,32,-102.705,,Permian,Ector,E Goldsmith San Andres 19-3,Conventional Hydrocarbon,,1980-04-13,San Andres,Unknown,5020,5046,,1.0275,7,38006,1541.25,2096,19008.75,,582.59,11097,3668.18,,
15765,26.7135,-98.4742,4.24273E+13,Gulf Coast,Starr,I V Montalvo C-#39,Conventional Hydrocarbon,1979-09-27,1980-04-11,Rincon,Tertiary,6535,6550,8862,1.0415,5.8,66448,219.76,2207,40410.2,,287.45,23225.45,<MDL,,
13373,33.5726,-102.4344,4.22193E+13,Permian,Hockley,Levelland Unit #530,Conventional Hydrocarbon,,1980-04-10,San Andres,Unknown,,,4887,1.08,6.9,108788,244,11900,66700,,2030,26514,1400,,
13399,33.5694,-102.4438,4.22193E+13,Permian,Hockley,Levelland Unit #541,Conventional Hydrocarbon,,1980-04-10,San Andres,Permian,,,4905,1.1,6.9,140108,254,15000,86500,,2.68,34474,1200,,
13405,33.5712,-102.44,4.22193E+13,Permian,Hockley,Levelland Unit #597,Conventional Hydrocarbon,,1980-04-10,San Andres,Permian,,,4894,1.072,6.8,101696,342,11200,62100,,1880,24694,1480,,
